timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-29T00:31:01.087683+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.088039+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.088045+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.088049+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.088053+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.088056+0200,142.251.140.106,10.0.2.15,1,0.995
2025-12-29T00:31:01.088065+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.687626+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.687847+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.710442+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.710854+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.730010+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:40.733998+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:45.171447+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:45.171579+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:45.171635+0200,10.0.2.15,52.182.143.209,1,1.0
2025-12-29T00:41:45.171685+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:41:45.171711+0200,142.251.140.106,10.0.2.15,1,0.96
2025-12-29T02:33:55.417442+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:33:55.417824+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:33:55.451002+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:33:55.451452+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:33:55.458566+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:33:55.473364+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:05.891483+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:05.913584+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.598595+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.599057+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.621115+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.621711+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.635354+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:34:59.643220+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.407419+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.409105+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.430083+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.430554+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.445987+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.452884+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:06.702202+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-29T02:35:24.270963+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-29T02:35:24.275516+0200,10.0.2.15,142.251.140.110,1,1.0
2025-12-29T02:35:24.275652+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275719+0200,142.251.140.106,10.0.2.15,1,0.995
2025-12-29T02:35:24.275754+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275760+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275764+0200,10.0.2.15,142.250.180.170,1,1.0
2025-12-29T02:35:24.275768+0200,10.0.2.15,104.208.16.95,1,1.0
2025-12-29T02:35:24.275772+0200,10.0.2.15,142.250.180.170,1,1.0
2025-12-29T02:35:24.275775+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275779+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275783+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275795+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275799+0200,10.0.2.15,142.251.31.84,1,1.0
2025-12-29T02:35:24.275803+0200,10.0.2.15,34.107.243.93,1,1.0
2025-12-29T02:35:24.275806+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275810+0200,10.0.2.15,216.58.209.35,1,1.0
2025-12-29T02:35:24.275814+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T02:35:24.275817+0200,10.0.2.15,192.168.1.1,2,1.0
